NC Object Id,Promo name,Billing Offer Id,Status,OPTIK TV Tax Included Offer,Promo Categories,,,
9162796246682662086,Retention 2.0: HP LD Credit 12 MO (Unlimited World 60 Long Distance) - $10,40870261,Active,N,[NULL],,,
9164783177314235043,Retention 2.0: TTV Credit 24 MO - $5,40760821,Active,Y,[NULL],,,
9163410821067963319,Service Agreement on High Speed,40786771,Active,N,Discounts,,,
9162610807525427147,Service Agreement on TELUS TV,40786761,Active,Y,Discounts,,,
9163030331266415131,$10 Off Internet for 24 Months,40761451,Active,N,Discounts,,,
9163030499396653779,$10 Off Internet for 24 Months,40761451,Active,N,Discounts,,,
9164433639893595590,$10 Off Internet for 24 Months,40761451,Active,N,Discounts,,,
9163030499813769045,$10 Off Optik TV for 24 Months,40760871,Active,Y,Discounts,,,
9164957603973320280,$10 Off Pik Max for 24 Months,41008081,Active,Y,Discounts,,,
9164775176394855277,$10 Off TOS Ultimate for 12 Months,41127291,Active,N,Discounts,,,
9164775677653693267,$10 Off TOS Ultimate for 24 Months,41127321,Active,N,Discounts,,,
9161940653197782379,$100 Internet One Time Credit,40884101,Active,N,Discounts,,,
9162607584202256040,$100 Off Internet (One-Time Credit),40884101,Active,N,Discounts,,,
9162848222183813621,$100 Off Monitored plans  (One Time Credit),41178071,Active,N,Discounts,,,
9164242065757077264,$100 Off Optik TV (One-time Credit),40883511,Active,Y,Discounts,,,
9164309042579777651,$100 Off Optik TV (One-time Credit),40883511,Active,Y,Discounts,,,
9164491240758317025,$100 Off Optik TV (One-time Credit),40883511,Active,Y,Discounts,,,
9164498270593317055,$100 Off Optik TV (One-time Credit),40883511,Active,Y,Discounts,,,
9164602790034317396,$100 Off SmartHome Security (One Time Credit),41178071,Active,N,Discounts,,,
9163262016790813470,$100 Off SmartHome Security (One Time Credit),41200441,Active,N,Discounts,,,
9163262088736648824,$100 Off SmartHome Security (One Time Credit),41200441,Active,N,Discounts,,,
9163270797922059643,$100 Off SmartHome Security (One Time Credit),41200441,Active,N,Discounts,,,
9163402281095963296,$100 Off SmartHome Security (One Time Credit),41200441,Active,N,Discounts,,,
9163402281201963299,$100 Off SmartHome Security (One Time Credit),41200441,Active,N,Discounts,,,
9163462538794819413,$100 Off SmartHome Security (One Time Credit),41200441,Active,N,Discounts,,,
9163808321697015472,$100 Off SmartHome Security (One Time Credit),41200441,Active,N,Discounts,,,
9163237254127648806,$100 Off on SHS - Referrals program (One Time Credit),41200441,Active,N,Discounts,,,
9159829207813575709,$100 off SmartHome Security - One Time Credit,41133111,Active,N,Discounts,,,
9163348252863699876,$100 one-time discount on monitored plans - SmartHome Security,41178071,Active,N,Discounts,,,
9163418075010203788,$100 one-time discount on monitored plans - SmartHome Security,41178071,Active,N,Discounts,,,
9161171393313681619,$150 Internet One Time Credit,40884111,Active,N,Discounts,,,
9161940775008976769,$150 Off Internet (One-Time Credit),40884111,Active,N,Discounts,,,
9162615558349256054,$150 Off Internet (One-Time Credit),40884111,Active,N,Discounts,,,
9162615597433739407,$150 Off Optik TV (One-Time Credit),40883551,Active,Y,Discounts,,,
9164602806206174751,$150 Off SmartHome Security (One Time Credit),41178281,Active,N,Discounts,,,
9163348207296699870,$150 Off monitored plans (One Time Credit),41178281,Active,N,Discounts,,,
9163451617358819378,$150 Off on Smart Automation Plus Plan (One Time Credit),41178281,Active,N,Discounts,,,
9161171348013609890,$150 Optik TV One Time Credit,40883551,Active,Y,Discounts,,,
9163417900221137086,$150 off SmartHome Security with DuProprio (One Time Credit),41178281,Active,N,Discounts,,,
9163445038385709609,$150 off SmartHome Security with DuProprio (One Time Credit),41178281,Active,N,Discounts,,,
9161171432913738091,$200 Internet One-Time Credit,40884121,Active,N,Discounts,,,
9162615511038739404,$200 Off Internet (One-Time Credit),40884121,Active,N,Discounts,,,
9161776951687502399,$200 Off Optik TV (One-Time Credit),40883591,Active,Y,Discounts,,,
9163175430379812996,$200 Off Smarthome Security (One Time Credit),41178291,Active,N,Discounts,,,
9163177787581646770,$200 Off Smarthome Security (One Time Credit),41178291,Active,N,Discounts,,,
9163221187494625448,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163687424489645218,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163687966843645232,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163688061908645244,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163694215164645259,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163694291539622574,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163694452526824567,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163694641115645269,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163807344385232903,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163807447388015450,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163807497639970831,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163807601461232920,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163807674986970851,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163807737435232935,$30 Off Pik TV (One-Time Credit),41119127,Active,Y,Discounts,,,
9163530483411203292,$300 Off Smarthome Security (One Time Credit),41202711,Active,N,Discounts,,,
9162683653854158039,$4 Off TELUS Online Security for 12 Months,41127271,Active,N,Discounts,,,
9162720101531155133,$4 Off TELUS Online Security for 12 Months,41127271,Active,N,Discounts,,,
9162683676955158045,$4 Off TELUS Online Security for 24 Months,41127301,Active,N,Discounts,,,
9162720037043786416,$4 Off TELUS Online Security for 24 Months,41127301,Active,N,Discounts,,,
9164775724968235000,$4 Off TOS Standard for 12 Months,41127271,Active,N,Discounts,,,
9164775821577235006,$4 Off TOS Standard for 24 Months,41127301,Active,N,Discounts,,,
9164921245828890985,$5 Off Internet for 24 Months,40761321,Active,N,Discounts,,,
9164921610078890988,$5 Off Internet for 24 Months,40761321,Active,N,Discounts,,,
9164930482164320263,$5 Off Internet for 24 Months,40761321,Active,N,Discounts,,,
9164921610457303457,$5 Off Optik TV for 24 Months,40760821,Active,Y,Value Based Stackability Discounts,,,
9164930482568891015,$5 Off Optik TV for 24 Months,40760821,Active,Y,Value Based Stackability Discounts,,,
9164775776563693271,$5 Off TOS Complete for 12 Months,41127281,Active,N,Discounts,,,
9164783275123235045,$5 Off TOS Complete for 12 Months,41127281,Active,N,Discounts,,,
